Recommended name	Participants
GID_E3_ubiquitin_ligase_complex,_GID11_variant	OG6_102395 OG6_102654 OG6_103231 OG6_103879 OG6_102407 OG6_102297 OG6_111232
CDC48-SHP1_AAA_ATPase_complex	OG6_100525 OG6_102041
PBA1-PBA2_proteasomal_chaperone_complex	OG6_104586 OG6_500775
PBA3-PBA4_proteasomal_chaperone_complex	OG6_499976 OG6_500179
MECA_complex	OG6_209567 OG6_500484
DNA_polymerase_zeta_complex	CHEBI:49883 OG6_102751 OG6_104299 OG6_102286 OG6_500701
MIS_complex	OG6_104881 OG6_105437 OG6_500463 OG6_103808 OG6_500520
Vacuolar_transporter_chaperone_complex,_VTC3_variant	OG6_107280 OG6_106806 OG6_122869
Vacuolar_transporter_chaperone_complex,_VTC2_variant	OG6_107280 OG6_122869 OG6_106806
THO_complex	OG6_500880 OG6_500554 OG6_500597 OG6_102850 OG6_103233
Peroxisomal_receptor_export_module_complex	OG6_103335 OG6_103617 OG6_500663
PEX2-PEX10-PEX12_ubiquitin_ligase_complex	OG6_103635 OG6_103569 OG6_103665
Peroxisomal_PEX13-PEX14-PEX17_docking_complex	OG6_500769 OG6_105746 OG6_105516
Peroxisomal_PEX7-PEX18_receptor_complex	OG6_499862 OG6_102912
Peroxisomal_PEX7-PEX21_receptor_complex	OG6_102912 OG6_500477
TRAPP_II_complex	OG6_500932 OG6_500631 OG6_102403 OG6_102292 OG6_102532 OG6_102947 OG6_104539 OG6_102399 OG6_113512 OG6_102793
TRAPPI_protein_complex	OG6_102403 OG6_102292 OG6_102532 OG6_102947 OG6_102399 OG6_102793
Methionyl_glutamyl_tRNA_synthetase_complex	CHEBI:29173 CHEBI:29175 OG6_101454 OG6_103886 OG6_100893
DNA_polymerase_alpha:primase_complex	CHEBI:49883 OG6_101221 OG6_102343 OG6_102391 OG6_102459
DNA_polymerase_delta_complex	CHEBI:49883 OG6_101046 OG6_102286 OG6_500701
DNA_polymerase_epsilon_complex	CHEBI:49883 OG6_101586 OG6_102104 OG6_104378 OG6_103217
Telosome	EBI-8769060 OG6_499994 OG6_500376 OG6_499910
Swr1_chromatin_remodelling_complex	OG6_500215 OG6_100249 OG6_104154 OG6_102680 OG6_102192 OG6_100127 OG6_102754 OG6_500332 OG6_104246 OG6_101792 OG6_101779 OG6_499954 OG6_101635 OG6_103780
Hpa2_acetyltransferase	CHEBI:15351 OG6_132807
SYP1_endocytic_adapter_complex	OG6_124880
Ire1_serine/threonine-protein_kinase/endoribonuclease_complex	OG6_102150
Phosphatidylinositol_transporter_complex	OG6_102382
Chaperonin-containing_T-complex	CHEBI:15422 OG6_101890 OG6_101721 OG6_100235 OG6_101757 OG6_101716 OG6_100235 OG6_101782 OG6_102087
Myosin_class_V_complex,_MYO2_variant	OG6_100851 OG6_100101 OG6_113025
26S_proteasome_complex	OG6_102724 OG6_106980 OG6_102011 OG6_102240 OG6_102061 OG6_101968 OG6_101969 OG6_101631 OG6_101382 OG6_101970 OG6_100897 OG6_101718 OG6_101621 OG6_102164 OG6_101410 OG6_101915 OG6_101965 OG6_101899 OG6_101390 OG6_101799 OG6_102002 OG6_101680 OG6_102143 OG6_101207 OG6_101477 OG6_101835 OG6_101751 OG6_101513 OG6_101776 OG6_102079 OG6_102054 OG6_102014 OG6_101896
SOD1-CCS1_superoxide_dismutase_heterodimer	CHEBI:29036 CHEBI:29105 OG6_101013 OG6_105544
TIM9-TIM10_mitochondrial_intermembrane_space_protein_transporter_complex	OG6_103037 OG6_103064
CIA_targeting_complex	OG6_102398 OG6_102900 OG6_102166
TIM8-TIM13_mitochondrial_intermembrane_space_protein_transporter_complex	OG6_103836 OG6_101956
COPII_vesicle_coat_complex	CHEBI:15996 OG6_100992 OG6_101164 OG6_101250 OG6_101023 OG6_101941
Kinetochore_CCAN_complex	OG6_500573 OG6_500694 OG6_500389 OG6_143758 OG6_500349 OG6_500242 OG6_500462 OG6_500280 OG6_500221 OG6_500273 OG6_500830 OG6_499861 OG6_500602 OG6_500522 OG6_106638 OG6_105266
MMS2-UBC13_ubiquitin_ligase_complex	OG6_101934 OG6_101344
Nucleosome,_variant_HTA1-HTB2_	CHEBI:4705 OG6_100082 OG6_100120 OG6_100077 OG6_100119
2-(3-amino-3-carboxypropyl)histidine_synthase_complex	CHEBI:49883 OG6_103331 OG6_101267
DNA-directed_RNA_polymerase_III_complex	CHEBI:18420 CHEBI:29105 OG6_100210 OG6_102180 OG6_500829 OG6_101049 OG6_101231 OG6_102056 OG6_101548 OG6_100190 OG6_122843 OG6_102491 OG6_102868 OG6_102251 OG6_101831 OG6_102756 OG6_103748 OG6_103530 OG6_101491
Glycosylphosphatidylinsitol_ethanolamine-phosphate_transferase_II_complex	OG6_104308 OG6_104722
Glycosylphosphatidylinsitol_ethanolamine-phosphate_transferase_III_complex	OG6_104722 OG6_102855
ISA1-ISA2-IBA57_mitochondrial_iron-sulfur_protein_assembly_complex	CHEBI:49883 OG6_102468 OG6_101081 OG6_101909
Snf1_protein_kinase_complex_variant_SIP2_	OG6_100252 OG6_101734 OG6_101253
GRX6_iron-sulfur_cluster_assembly_homodimer_complex	CHEBI:16856 CHEBI:33737 OG6_100315
Elongation_Factor_eEF1_complex,_variant_CAM1	OG6_100227 OG6_101050 OG6_101695
Inositol_phosphorylceramide_synthase_complex	OG6_110014 OG6_118284
Superoxide_dismutase_1_copper_chaperone	CHEBI:29036 OG6_105544
[Cu-Zn]_Superoxide_dismutase_complex	CHEBI:29036 CHEBI:29105 OG6_101013
RAD6-RAD18_ubiquitin_ligase_complex	OG6_101178 OG6_105794
BRE1-RAD6_ubiquitin_ligase_complex	OG6_101178 OG6_113897
BRE1_E3_ubiquitin-protein_ligase_complex	OG6_113897
UBR1-RAD6_ubiquitin_ligase_complex	OG6_101178 OG6_101603
RSP5-BUL1_ubiquitin_ligase_complex	OG6_100256 OG6_160270
RSP5-BUL2_ubiquitin_ligase_complex	OG6_100256 OG6_160270
RAD6-UBR2_ubiquitin_ligase_complex	OG6_101178 OG6_101603
MUB1-RAD6-UBR2_ubiquitin_ligase_complex	OG6_101178 OG6_137830 OG6_101603
MCM_complex	OG6_101598 OG6_101336 OG6_102165 OG6_101805 OG6_102101 OG6_101983
CDC48-NPL4-UFD1_AAA_ATPase_complex	OG6_100525 OG6_101880 OG6_101567
CUE1-UBC7_ubiquitin-conjugating_enzyme_complex	OG6_115049 OG6_105061
TIM9-TIM10-TIM12_mitochondrial_intermembrane_space_protein_transporter_complex	OG6_103037 OG6_500836 OG6_103064
1,3-beta-D-glucan_synthase_complex,_FKS3-RHO1_variant	OG6_101682 OG6_101172
Acetolactate_synthase_complex	CHEBI:16238 CHEBI:18420 CHEBI:9532 OG6_100369 OG6_104341
PMT1-PMT2_dolichyl-phosphate-mannose-protein_mannosyltransferase_complex	OG6_101353 OG6_101353
PMT1-PMT3_dolichyl-phosphate-mannose-protein_mannosyltransferase_complex	OG6_101353 OG6_101353
PMT5-PMT2_dolichyl-phosphate-mannose-protein_mannosyltransferase_complex	OG6_101353 OG6_101353
PMT4_dolichyl-phosphate-mannose-protein_mannosyltransferase_complex	OG6_105038
PMT5-PMT3_dolichyl-phosphate-mannose-protein_mannosyltransferase_complex	OG6_101353 OG6_101353
Translocon_complex	OG6_102234 OG6_106907 OG6_100672 OG6_114113 OG6_101625 OG6_115523 OG6_103007
SEC62-SEC63_complex	OG6_102234 OG6_106907 OG6_114113 OG6_115523
CDC48-NPL4-VMS1_AAA_ATPase_complex	OG6_100525 OG6_101880 OG6_104356
HRD1_E3_ubiquitin_ligase_complex	OG6_101672 OG6_500451 OG6_500023 OG6_101047 OG6_102274 OG6_104081
Doa10_E3_ubiquitin_ligase_complex	OG6_102767 OG6_500023
Ric1-Rgp1_guanyl-nucleotide_exchange_factor_complex	OG6_104371 OG6_500360
Shu_complex	OG6_500129 OG6_500705 OG6_500651 OG6_500967
PAS_complex	OG6_101979 OG6_101803 OG6_103112 OG6_500002 OG6_102134
RAD55-RAD57_complex	OG6_104619 OG6_152742
Mitochondrial_DNA-directed_RNA_polymerase_complex	OG6_101824 OG6_122928
NuA4_histone_acetyltransferase_complex	CHEBI:29105 OG6_137182 OG6_101815 OG6_500192 OG6_102490 OG6_102943 OG6_102680 OG6_105343 OG6_102192 OG6_100127 OG6_102754 OG6_156413 OG6_100632 OG6_102009
SPOTS_complex	OG6_102559 OG6_101364 OG6_100700 OG6_102694 OG6_102694 OG6_500581
SLX1-SLX4_structure-specific_endonuclease_complex	CHEBI:60240 OG6_103129 OG6_500568
Sulfite_reductase_complex_(NADPH)	CHEBI:28599 CHEBI:57692 CHEBI:58210 CHEBI:64607 OG6_111529 OG6_103271
EGO_complex	OG6_500185 OG6_102660 OG6_102718 OG6_500889 OG6_500316
Slx5-Slx8_SUMO-targeted_ubiquitin_ligase_(STUbL)_complex	OG6_500142 OG6_500000
Mitochondrial_degradosome_complex	OG6_101922 OG6_106276
EAF5-7-3_nucleosome_disassembly/reassembly_complex	OG6_500192 OG6_105343 OG6_102009
Piccolo_NuA4_histone_acetyltransferase_complex	OG6_137182 OG6_102490 OG6_100632
Polarisome	OG6_500117 OG6_499946 OG6_111245 OG6_101727 OG6_100958 OG6_100958
ERMES_complex	OG6_114985 OG6_101658 OG6_110538 OG6_111233 OG6_112022
Mitochondrial_pyruvate_dehydrogenase_complex	CHEBI:16238 CHEBI:58937 OG6_100523 OG6_101258 OG6_100754 OG6_116999 OG6_101309
Mitotic_checkpoint_complex,_MAD1-MAD2-BUB1-BUB3_subcomplex	OG6_102928 OG6_103958 OG6_103574 OG6_103677
FACT_complex	OG6_102309 OG6_101807
Core_mediator_complex	OG6_143677 OG6_500082 OG6_500254 OG6_500770 OG6_137788 OG6_500147 OG6_143850 OG6_500030 OG6_104763 OG6_122984 OG6_103162 OG6_102673 OG6_500115 OG6_104457 OG6_500850 OG6_103658 OG6_103150 OG6_500116 OG6_500299 OG6_221206 OG6_500086
SEA_complex	OG6_104395 OG6_104131 OG6_103955 OG6_103753 OG6_103638 OG6_104242 OG6_101941 OG6_104440
GSE_complex	OG6_104128 OG6_500185 OG6_102660 OG6_102718 OG6_500889
SCF-Cdc4_ubiquitin_ligase_complex	OG6_101649 OG6_104162 OG6_100934 OG6_102466 OG6_101330
SUMO_activating_enzyme_complex	OG6_101769 OG6_102966
SCF-Grr1_ubiquitin_ligase_complex	OG6_104162 OG6_101086 OG6_100934 OG6_102466 OG6_101330
SCF-Mdm30_ubiquitin_ligase_complex	OG6_104162 OG6_100934 OG6_499938 OG6_102466 OG6_101330
SCF-Ufo1_ubiquitin_ligase_complex	OG6_104162 OG6_100934 OG6_500743 OG6_102466 OG6_101330
SCF-Das1_ubiquitin_ligase_complex	OG6_104162 OG6_222560 OG6_100934 OG6_102466 OG6_101330
Asi_ubiquitin_ligase_complex	OG6_500782 OG6_170858 OG6_170858
SCF-MET30_E3_ubiquitin_ligase_complex	OG6_104162 OG6_112271 OG6_100934 OG6_102466 OG6_101330
SCF-Dia2_ubiquitin_ligase_complex	OG6_104162 OG6_100934 OG6_102466 OG6_119818 OG6_101330
SCF-Ylr352w_ubiquitin_ligase_complex	OG6_104162 OG6_100934 OG6_115059 OG6_102466 OG6_101330
SCF-Saf1_ubiquitin_ligase_complex	OG6_104162 OG6_123854 OG6_100934 OG6_102466 OG6_101330
SCF-Hrt3_ubiquitin_ligase_complex	OG6_104162 OG6_100934 OG6_102466 OG6_101330 OG6_104095
Ribosome_quality_control_complex	OG6_100525 OG6_101880 OG6_101567 OG6_105606 OG6_102686 OG6_101297
INAC_inner_membrane_assembly_complex	OG6_500130 OG6_171073
Mitochondrial_proton-transporting_ATP_synthase_complex	OG6_100608 OG6_102362 OG6_137875 OG6_111834 OG6_100771 OG6_101031 OG6_103560 OG6_102981 OG6_100847 OG6_101507 OG6_113984 OG6_116984 OG6_116431 OG6_115888 OG6_101225 OG6_104623 OG6_115057
Nucleolar_ribonuclease_MRP_complex	OG6_103583 OG6_131696 OG6_152915 OG6_101654 OG6_102854 OG6_500893 OG6_103108 OG6_500542 OG6_500084 OG6_143849 URS000006F31F_559292
PAN2-PAN3_mRNA_deadenylation_complex	OG6_103887 OG6_102772
FUN30_complex	OG6_103309
Telomerase_holoenzyme_complex	OG6_222561 OG6_500131 OG6_104485 URS0000348061_559292
