Accession	Gene Names	Entry	Protein names	Mass
OG6r21_102003	C402150CA	Q5AMR9	Uncharacterized protein	125162
OG6_103424	C402160CA	A0A1D8PLH5	ABC1 atypical kinase-like domain-containing protein	80816
OG6_109506	C402170CA	Q5AMS2	Hydrolase	63274
OG6_153271	C402180CA	A0A1D8PLH4	Zcf26p	95435
OG6_121197	C402190CA	Q5AMS5	Uncharacterized protein	61601
OG6_152838	C402200CA	A0A1D8PLG7	SnoaL-like domain-containing protein	16842
OG6_132411	C402210WA	Q5AMS7	AB hydrolase-1 domain-containing protein	29712
OG6_129996	C402220CA	A0A1D8PLI4	Zcf25p	92387
OG6_111226	C402230CA	P86029	Catechol 1,2-dioxygenase (EC 1.13.11.1)	33800
OG6_123860	C402240CA	Q5AMT0	Protein ROT1	22299
OG6_108914	C402250CA	Q5AMT2	Glucan 1,3-beta-glucosidase BGL2 (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	33670
OG6_102561	C402260CA	Q5AMT3	Methyltransferase	41509
OG6_105795	C402270CA	Q5AMT7	Bfr1p	53484
OG6_102471	C402280WA	A0A1D8PLI2	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase) (IPP isomerase)	32362
OG6_100980	C402290WA	P0CH67	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	43339
OG6_121212	C402300WA	A0A1D8PLH8	Histone deacetylase	81944
OG6_111846	C402310WA	A0A1D8PLJ2	Bem3p	127077
OG6_101013	C402320CA	A0A1D8PLJ3	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	16146
OG6r21_109263	C402330CA	Q5AF36	Uncharacterized protein	18021
OG6_110554	C402340WA	Q5AF37	Uncharacterized protein	13629
OG6_103853	C402360WA	Q5AF38	alpha-mannosidase (EC 3.2.1.24)	131599
OG6_500526	C402370CA	Q5AF39	Cell wall protein PGA59 (GPI-anchored protein 59)	11249
OG6_149176	C402390WA	Q5AF41	Cell wall protein PGA62 (Flocculation protein 1) (GPI-anchored protein 62)	21255
OG6r21_108070	C402400CA	Q5AF43	SUN domain-containing protein	91988
OG6_101112	C402410CA	Q5AF44	Thioredoxin peroxidase	19258
OG6_104722	C402420CA	Q5AFT2	Glycosylphosphatidylinositol anchor biosynthesis protein 11	29810
OG6_103351	C402430WA	Q5AFT3	Protein CFT1 (Cleavage factor two protein 1)	161940
OG6r21_112728	C402440CA	A0A1D8PLK7	Pga38p	53514
OG6_100473	C402450WA	A0A1D8PLK0	Thioredoxin domain-containing protein	39264
OG6_101087	C402460WA	Q5AF52	ER lumen protein-retaining receptor	24829
OG6_101631	C402470CA	A0A1D8PLK1	Proteasome subunit beta	27288
OG6_103836	C402480CA	Q5AF54	Mitochondrial import inner membrane translocase subunit TIM13	12086
OG6_153271	C402490WA	Q5AF55	Zcf15p	108265
OG6_170170	C402500CA	Q5AF56	Transcriptional regulator ADR1	160414
OG6_100246	C402510WA	A0A1D8PLJ9	Major facilitator superfamily (MFS) profile domain-containing protein	56371
OG6_129929	C402520CA	A0A1D8PLK4	Potassium channel tetramerisation-type BTB domain-containing protein	57288
OG6_133403	C402530WA	A0A1D8PLL5	Arg83p	114547
OG6_137735	C402540WA	A0A1D8PLL4	Rgt1p	115305
OG6_100462	C402550CA	Q5AF62	Transmembrane 9 superfamily member	71393
OG6r21_112729	C402560CA	A0A1D8PLL3	DNA-binding transcriptional regulator	50648
OG6_100918	C402570CA	A0A1D8PLL0	[histone H3]-trimethyl-L-lysine(9) demethylase (EC 1.14.11.66)	70319
OG6r21_102523	C402580WA	A0A1D8PLL7	Uncharacterized protein	12848
OG6r21_103543	C402590CA	Q5AFV3	Structure-specific endonuclease subunit SLX4	87934
OG6_124945	C402600CA	A0A1D8PLL1	Uncharacterized protein	66420
OG6_100144	C402610CA	A0A1D8PLL2	Sulfate permease	91330
OG6_104010	C402620CA	Q5AF71	Phosphotransferase	81105
OG6_103329	C402630CA	A0A1D8PLM5	Negative cofactor 2 transcription regulator complex subunit	16309
OG6_103858	C402640CA	Q5AF73	tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16)	46393
OG6_100091	C402660WA	A0A1D8PLM1	Oxidoreductase	38076
OG6_102610	C402670WA	A0A1D8PLM0	Beclin 1	60214
OG6r21_102523	C402680CA	A0A1D8PLL7	Uncharacterized protein	12848
OG6_100918	C402690WA	A0A1D8PLN0	[histone H3]-trimethyl-L-lysine(9) demethylase (EC 1.14.11.66)	70296
OG6_103195	C402700WA	Q5AF80	Checkpoint protein RAD24	68147
OG6_101660	C402710CA	Q5AF81	Monothiol glutaredoxin	28373
OG6_118309	C402720CA	A0A1D8PLM4	Protein SFK1	35535
OG6r21_126937	C402740WA	A0A1D8PLM7	Cyclin N-terminal domain-containing protein	56545
OG6_104054	C402750WA	A0A1D8PLM8	Hit1p	16868
OG6_101744	C402760CA	P56553	Cell growth-regulated gene 1 protein	38414
OG6_103549	C402770CA	Q5AFX2	Translation initiation factor eIF2 assembly protein (Cell division cycle protein 123)	40106
OG6_101757	C402780WA	A0A1D8PLN3	T-complex protein 1 subunit delta	59286
OG6_126521	C402790CA	A0A1D8PLN1	rRNA-processing protein	65399
OG6_122843	C402800WA	A0A1D8PLP0	DNA-directed RNA polymerase III subunit	49750
OG6_102961	C402820WA	A0A1D8PLP6	MutS family protein	91307
OG6_102138	C402830CA	Q5AF95	ATP-dependent RNA helicase DBP4 (EC 3.6.4.13)	86722
OG6_104763	C402840CA	A0A1D8PLN4	Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20)	26925
OG6_103229	C402850WA	A0A1D8PLN7	Elongator complex protein 2	89098
OG6_112910	C402860WA	A0A1D8PLN9	Glc8p	24622
OG6_102149	C402870CA	Q5AF98	Zuotin	48348
OG6_101125	C402880CA	Q5AF99	Guanine nucleotide exchange factor	29157
OG6_104587	C402890CA	A0A1D8PLP3	Cytochrome b-c1 complex subunit 9, mitochondrial (Complex III subunit 9)	7509
OG6_142788	C402900CA	Q5AFA2	Extracellular glycosidase CRH11 (EC 3.2.-.-) (Congo red hypersensitive protein 11)	46733
OG6_113507	C402920WA	Q5AFA5	B30.2/SPRY domain-containing protein	58991
OG6r21_106214	C402930WA	Q5AFA6	Uncharacterized protein	19664
OG6_104762	C402940WA	Q5AFA8	Abp1p	70596
OG6_103722	C402950CA	Q5AFA9	ER membrane protein complex subunit 6	12036
OG6_101603	C402960WA	Q5AFB1	E3 ubiquitin-protein ligase (EC 2.3.2.27)	219227
OG6_101603	C402970CA	A0A1D8PLP8	E3 ubiquitin-protein ligase (EC 2.3.2.27)	203014
OG6_101224	C402980WA	Q5AFB3	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)	44986
OG6_100130	C402990CA	Q5AFB4	Gst2p	25261
OG6r21_115543	C403000CA	A0A1D8PLQ2	Uncharacterized protein	28184
OG6_114251	C403020WA	Q5AFB7	dynamin GTPase (EC 3.6.5.5)	99944
OG6_102924	C403030CA	Q5AFB9	Nan1p	94048
OG6_101548	C403040WA	A0A1D8PLR5	DNA-directed RNA polymerases I, II, and III subunit RPABC5	8584
OG6_104171	C403050CA	A0A1D8PLQ3	Gly-Xaa carboxypeptidase	64726
OG6_109925	C403070WA	Q5AFC2	Predicted GPI-anchored protein 54	36033
OG6_100282	C403080WA	A0A1D8PLR3	Uncharacterized protein	93903
OG6_120036	C403090WA	Q5AFC5	Transcription initiation factor IIA large subunit	30372
OG6_101324	C403100WA	A0A1D8PLR0	ribonuclease T2 (EC 4.6.1.19)	36858
OG6_102565	C403110WA	A0A1D8PLQ7	Phospholipid-transporting ATPase (EC 7.6.2.1)	197657
OG6_103677	C403120CA	A0A1D8PLR1	Protein kinase	103367
OG6_103068	C403130WA	A0A1D8PLR2	GPI-anchor transamidase subunit	70598
OG6_137837	C403140CA	Q5AFD1	Elongator complex protein 5	34080
OG6_101702	C403150WA	Q5AFD2	mRNA-binding U2 snRNP complex subunit	125041
OG6r21_112730	C403160CA	Q5AFD3	Uncharacterized protein	38401
OG6_114002	C403170WA	A0A1D8PLR6	Smc5-Smc6 complex subunit	38275
OG6_100886	C403180WA	A0A1D8PLR7	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	76635
OG6_102044	C403190WA	A0A1D8PLS0	FAD/NAD(P)-binding domain-containing protein	50503
OG6_113000	C403200CA	A0A1D8PLR8	Hydroxyacyl-thioester dehydratase	33699
OG6_100069	C403230CA	A0A1D8PLS1	Integrase catalytic domain-containing protein	167173
OG6r21_140065	C403250CA	A0A1D8PLR9	Rhd2p	35801
OG6_102467	C403270WA	Q5AFD8	rRNA-binding ribosome biosynthesis protein	34861
OG6_103801	C403280WA	A0A1D8PLT4	Karyopherin	142538
OG6_109072	C403290WA	A0A1D8PLT5	XPG-I domain-containing protein	102209
OG6r21_167642	C403300CA	A0A1D8PLS2	Chromo domain-containing protein	7005
OG6r21_167643	C403310CA	A0A1D8PLS6	Uncharacterized protein	7946
OG6_143868	C403320WA	A0A1D8PLS7	Uncharacterized protein	42161
OG6_137005	C403330WA	Q59KN8	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)	42920
OG6_102044	C403340CA	A0A1D8PLT2	FAD/NAD(P)-binding domain-containing protein	44874
OG6_102044	C403350CA	A0A1D8PLT0	FAD/NAD(P)-binding domain-containing protein	50458
OG6_106806	C403360CA	Q59PH5	Vtc4p	82346
OG6_124940	C403370CA	A0A1D8PLT3	SRPBCC domain-containing protein	17849
OG6_100720	C403380CA	A0A1D8PLT7	Dao2p	43581
OG6_112508	C403390WA	A0A1D8PLU5	Csh3p	26217
OG6_119811	C403400WA	A0A1D8PLS9	NADH-ubiquinone oxidoreductase 9.5 kDa subunit	9718
OG6_101227	C403410WA	A0A1D8PLT6	Mitochondrial 54S ribosomal protein YmL22	34374
OG6_100480	C403430WA	A0A1D8PLT8	Moh1p	29885
OG6_500427	C403440CA	A0A1D8PLU4	ubiquitinyl hydrolase 1 (EC 3.4.19.12)	83857
OG6_102889	C403450CA	Q59PG6	COP9 signalosome complex subunit 5 (EC 3.4.-.-)	69519
OG6_137515	C403460CA	A0A1D8PLU0	RRM domain-containing protein	68394
OG6r21_115545	C403470CA	Q07730	Extent of cell elongation protein 1 [Cleaved into: ECE1-I; ECE1-II; Candidalysin ECE1-III; ECE1-IV; ECE1-V; ECE1-VI; ECE1-VII; ECE1-VIII]	28878
OG6r21_126938	C403480CA	A0A1D8PLU2	Uncharacterized protein	20864
OG6r21_140066	C403490CA	A0A1D8PLV2	Uncharacterized protein	18325
OG6r21_119632	C403500CA	A0A1D8PLV4	Uncharacterized protein	19371
OG6_111931	C403510CA	Q59PF9	Hyphal wall protein 2 (GPI-anchored protein 8)	93432
OG6_500526	C403520CA	Q59TP1	Cell wall protein RBT1 (Repressed by TUP1 protein 1)	73619
OG6_103843	C403530WA	A0A1D8PLU7	Uncharacterized protein	75331
OG6_103998	C403540CA	A0A1D8PLV5	Ecm38p	63782
OG6_101242	C403550WA	A0A1D8PLU8	SsDNA endodeoxyribonuclease	115095
OG6_101595	C403560WA	A0A1D8PLU9	Clathrin/coatomer adaptor adaptin-like N-terminal domain-containing protein	88071
OG6r21_115546	C403570WA	P46593	Hyphal wall protein 1 (Cell elongation protein 2)	65314
OG6r21_102041	C403580WA	Q59TL8	Uncharacterized protein	41625
OG6_101238	C403590CA	Q59TM0	Oxysterol-binding protein related protein	95282
OG6_142074	C403600CA	Q5A2I3	RING-type domain-containing protein	54482
OG6_100151	C403620CA	A0A1D8PLV0	Cdr3p	46410
OG6_100323	C403670WA	Q59TM5	Spo75p	99170
OG6_102113	C403680CA	A0A1D8PLW0	Uncharacterized protein	63865
OG6_104711	C403690CA	A0A1D8PLW5	Uncharacterized protein	15251
OG6_111608	C403700WA	A0A1D8PLV7	Major facilitator superfamily (MFS) profile domain-containing protein	62142
OG6_103193	C403710CA	A0A1D8PLV8	EamA domain-containing protein	55111
OG6_100398	C403720CA	A0A1D8PLW3	Fe2OG dioxygenase domain-containing protein	38162
OG6_100981	C403730CA	Q59TN1	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5)	51860
OG6_101400	C403740WA	Q59TN2	Exosome non-catalytic core subunit	34040
OG6_101033	C403750CA	A0A1D8PLX1	Prokaryotic-type class I peptide chain release factors domain-containing protein	44809
OG6r21_115547	C403760WA	A0A1D8PLW1	Spindle pole body component	25527
OG6r21_115548	C403770WA	A0A1D8PLW9	Uncharacterized protein	19141
OG6_100787	C403780CA	A0A1D8PLX3	RNA methyltransferase	52127
OG6_101896	C403790WA	A0A1D8PLW8	Proteasome regulatory particle lid subunit	49384
OG6_103478	C403800CA	A0A1D8PLW7	Nuclear pore complex protein	96343
OG6_111249	C403810WA	Q59TN9	Autophagy-related protein 20	81256
OG6_166362	C403820CA	A0A1D8PLX5	Hrq2p	49242
OG6_102883	C403830WA	A0A1D8PLX4	tRNA (Guanosine(18)-2'-O)-methyltransferase	166535
OG6_129058	C403840CA	A0A1D8PLY1	Ribosomal RNA-processing protein 42	34611
OG6r21_126939	C403850WA	A0A1D8PLY0	FG-nucleoporin	65248
OG6r21_140067	C403860CA	Q59LD5	Uncharacterized protein	41570
OG6_100282	C403880WA	A0A1D8PLX7	Uncharacterized protein	56745
OG6_104767	C403890WA	A0A1D8PLX9	Tyrosine protein phosphatase	85960
OG6_101706	C403900CA	A0A1D8PLY3	Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58)	66666
OG6_145298	C403910WA	A0A1D8PLX8	Fgr28p	68208
OG6_102329	C403920WA	A0A1D8PLX6	UBX domain-containing protein	63289
OG6_103910	C403930CA	A0A1D8PLY2	Signal recognition particle subunit SRP14 (Signal recognition particle 14 kDa protein)	16757
OG6_101725	C403940CA	A0A1D8PLY4	Pyruvate carboxylase (EC 6.4.1.1)	129699
OG6r21_167685	C403950CA	Q5AHK9	Uncharacterized protein	11875
OG6r21_107073	C403960WA	A0A1D8PLZ2	Uncharacterized protein	7942
OG6r21_100621	C403990CA	A0A1D8PLY5	Uncharacterized protein	39666
OG6_114266	C404000WA	Q5A5T7	Met4p	42201
OG6r21_110830	C404010WA	A0A1D8PLY8	Transcription activator GCR1-like domain-containing protein	93389
OG6r21_126942	C404020CA	Q5A5U1	Damage-regulated import facilitator 1	15702
OG6_104856	C404030WA	A0A1D8PLY7	Jen2p	57793
OG6r21_126943	C404040WA	A0A1D8PLZ3	Uncharacterized protein	15968
OG6r21_100261	C404050CA	Q5A5U4	Cell wall protein RHD3 (LDG family protein 7) (Predicted GPI-anchored protein 29) (Repressed during hyphae development protein 3)	21474
OG6r21_100261	C404070CA	Q5A5U6	Cell wall protein PGA30 (GPI-anchored protein 30) (LDG family protein 6)	28389
OG6r21_100261	C404080CA	Q5A5U9	Cell wall protein PGA31 (GPI-anchored protein 31) (LDG family protein 5)	29735
OG6_102144	C404090CA	A0A1D8PM03	Calnexin	66731
OG6_143832	C404100CA	A0A1D8PLZ5	Ecm1p	22541
OG6r21_167646	C404110WA	A0A1D8PM00	Uncharacterized protein	5313
OG6_103656	C404120CA	A0A1D8PLZ6	TFIIH/NER complex subunit	70471
OG6_115671	C404130WA	Q5A5V4	Uncharacterized protein	25062
OG6_108531	C404140WA	A0A1D8PM02	Endonuclease/exonuclease/phosphatase domain-containing protein	42516
OG6_101309	C404150CA	Q5A5V6	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)	41294
OG6_102325	C404160WA	Q5A5V8	HotDog ACOT-type domain-containing protein	57817
OG6_140267	C404170CA	A0A1D8PM01	Axl2p	101901
OG6_105238	C404180CA	A0A1D8PM16	Acyl-coenzyme A diphosphatase SCS3 (EC 3.6.1.-) (FIT family protein SCS3)	37068
OG6r21_101385	C404190CA	A0A1D8PM20	BioF2-like acetyltransferase domain-containing protein	97125
OG6r21_101385	C404200CA	A0A1D8PM07	BioF2-like acetyltransferase domain-containing protein	50985
OG6_103162	C404210CA	Q59P87	Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31)	17672
OG6_118288	C404220WA	Q59P88	DASH complex subunit DUO1 (Outer kinetochore protein DUO1)	19507
OG6_112012	C404230WA	Q59P89	Major facilitator superfamily (MFS) profile domain-containing protein	56094
OG6r21_100173	C404240CA	A0A1D8PM19	Uncharacterized protein	80997
OG6_103711	C404250WA	Q59P92	Nodulin-like domain-containing protein	62688
OG6_112063	C404260CA	Q59P94	Mitofusin	99268
OG6_121421	C404270WA	Q59P95	Ureidoglycolate hydrolase	23656
OG6_105923	C404280CA	Q59P96	Increased recombination centers protein 6	31776
OG6_101663	C404290WA	A0A1D8PM29	Exocyst complex component SEC15	103474
OG6r21_106215	C404300CA	Q59P99	Uncharacterized protein	13443
OG6_102743	C404310WA	Q59PA0	Cox11p	31320
OG6_114877	C404320WA	Q59PA1	ferric-chelate reductase (NADPH) (EC 1.16.1.9)	80997
OG6_473980	C404330CA	A0A1D8PM15	WW domain-containing protein	31647
OG6_102217	C404340CA	Q59PA3	ferroxidase (EC 1.16.3.1)	19796
OG6r21_101505	C404350WA	Q59PA4	Uncharacterized protein	24418
OG6_118293	C404360WA	A0A1D8PM13	Cytochrome P450	69013
OG6_127179	C404370CA	Q59PA6	Vac7p	86518
OG6r21_167647	C404380CA	A0A1D8PM30	Uncharacterized protein	10723
OG6_101015	C404390WA	A0A1D8PM41	Large ribosomal subunit protein eL22 (60S ribosomal protein L22-B)	14089
OG6r21_108071	C404400CA	A0A1D8PM37	Uncharacterized protein	10717
OG6_101506	C404410CA	Q5A644	Homoaconitase, mitochondrial (EC 4.2.1.36) (Homoaconitate hydratase)	74456
OG6r21_102042	C404420WA	Q5A645	Fgr3p	57111
OG6_499900	C404430WA	Q5A646	Mrp8p	23398
OG6_114113	C404440WA	Q5A647	Sec63 complex subunit	31319
OG6_101938	C404450CA	Q5A649	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1)	92910
OG6_110822	C404460CA	Q5A650	Serine/threonine protein kinase	155941
OG6_114704	C404470WA	Q5A651	Secreted aspartic protease 10 (ACP 10) (Aspartate protease 10) (EC 3.4.23.24) (Candidapepsin-10)	49333
OG6_101695	C404480CA	A0A1D8PM35	Translation elongation factor 1 subunit beta	23479
OG6_103288	C404500CA	Q5A653	Protein-lysine N-methyltransferase EFM5 (EC 2.1.1.-) (Elongation factor methyltransferase 5)	29386
OG6_198028	C404510WA	A0A1D8PM51	Transcription factor TFIIIC subunit	159993
OG6_104777	C404520WA	Q5A660	Protein PXR1 (PinX1-related protein 1)	31392
OG6_107446	C404530CA	P43076	pH-responsive protein 1 (pH-regulated protein 1)	59457
OG6_102706	C404550CA	Q5A663	Mitochondrial metalloendopeptidase OMA1 (EC 3.4.24.-)	38971
OG6_222595	C404560CA	A0A1D8PM45	Suppressor of lethality of KEX2 GAS1 double null mutant protein 1	31660
OG6_103186	C404570WA	A0A1D8PM34	intramembrane prenyl-peptidase Rce1 (EC 3.4.26.1)	32331
OG6r21_126945	C404580WA	A0A1D8PM39	Zds1p	185863
OG6_103477	C404590WA	Q5A668	Ceramide very long chain fatty acid hydroxylase (EC 1.-.-.-)	44426
OG6r21_101531	C404600CA	Q5A669	Rrn9 domain-containing protein	45898
OG6_100067	C404620CA	A0A1D8PM59	HTH CENPB-type domain-containing protein	59406
OG6r21_140069	C404630CA	Q5A671	Uncharacterized protein	14235
OG6r21_101825	C404640CA	Q5A672	Goa1p	32738
OG6_102520	C404650WA	A0A1D8PM54	C2H2-type domain-containing protein	27582
OG6_175840	C404660CA	Q5A675	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	109224
OG6_108531	C404670CA	A0A1D8PM47	Uncharacterized protein	56902
OG6_115931	C404700WA	Q5A678	Ssz1p	58530
OG6_101452	C404710WA	Q5A679	Oxidant-induced cell-cycle arrest protein 5	65113
OG6_111112	C404720WA	A0A1D8PM44	Methylenetetrahydrofolate dehydrogenase (NAD(+))	36136
OG6_100129	C404730WA	Q5A683	Bas1p	84513
OG6_102654	C404750WA	A0A1D8PM68	Glucose-induced degradation complex subunit	57895
OG6_103156	C404760CA	A0A1D8PM63	Uncharacterized protein	29878
OG6_116848	C404770CA	Q5A687	Alpha-1,2-mannosyltransferase MNN22 (EC 2.4.1.-)	68209
OG6_101353	C404780WA	Q5A688	Dolichyl-phosphate-mannose--protein mannosyltransferase 6 (Protein mannosyltransferase 6) (EC 2.4.1.109)	94913
OG6r21_109264	C404790WA	A0A1D8PM56	Fav1p	97738
OG6_128923	C404800WA	A0A1D8PM53	Reticulon-like protein	38751
OG6_100919	C404810CA	Q5A692	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Transfer RNA methyltransferase 8) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	37595
OG6_124821	C404820CA	Q5A693	Mitochondrial 54S ribosomal protein YmL11	29146
OG6_101368	C404830WA	A0A1D8PM62	ribonuclease III (EC 3.1.26.3)	68787
OG6_132941	C404840CA	Q5A695	Agp3p	56300
OG6_100166	C404850CA	A0A1D8PM73	Csr1p	70659
OG6r21_110831	C404860WA	A0A1D8PM64	Uncharacterized protein	44880
OG6_111832	C404870CA	A0A1D8PM60	mRNA decay factor PAT1 domain-containing protein	88247
OG6_104158	C404880WA	A0A1D8PM71	Fgr10p	35252
OG6_101189	C404890CA	Q5A6A1	Large ribosomal subunit protein eL24 (60S ribosomal protein L24-A)	17383
OG6_100932	C404900WA	A0A1D8PM75	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	11505
OG6r21_104041	C404910CA	A0A1D8PM85	DASH complex subunit SPC34 (Outer kinetochore protein SPC34)	28293
OG6_100288	C404920WA	Q5A6A4	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein KAE1) (tRNA threonylcarbamoyladenosine biosynthesis protein KAE1)	41103
OG6_103146	C404930CA	Q5A6A5	U2-type spliceosomal complex subunit	32233
OG6_109537	C404950WA	A0A1D8PM69	Uncharacterized protein	17472
OG6_103551	C404970CA	A0A1D8PM81	MICOS complex subunit MIC10	9394
OG6_101700	C404980WA	Q5A6A8	Acetyl-CoA transporter	62289
OG6_102512	C404990CA	A0A1D8PM72	Uncharacterized protein	52758
OG6r21_101674	C405000WA	A0A1D8PM74	Uncharacterized protein	49502
OG6_101916	C405010WA	A0A1D8PM77	NLE domain-containing protein	57327
OG6_104265	C405020WA	A0A1D8PM86	Large ribosomal subunit protein mL49	14260
OG6_104404	C405030CA	A0A1D8PM87	MAP kinase kinase kinase (EC 2.7.11.-)	168057
OG6_103313	C405040WA	A0A1D8PM82	Ubiquitin-like modifier HUB1	8433
OG6_110133	C405050CA	Q5A6B6	Serine/threonine-protein phosphatase PP2A-like PPG1 (EC 3.1.3.16)	47040
OG6_101368	C405060WA	A0A1D8PM79	Cdl1p	75344
OG6_100416	C405070CA	A0A1D8PM83	Acetylornithine aminotransferase, mitochondrial (EC 2.6.1.11)	50197
OG6_119781	C405080CA	A0A1D8PM90	Zn(2+) transporter	76881
OG6_116612	C405090CA	A0A1D8PM80	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12)	200066
OG6_100187	C405100CA	Q59MQ0	Myosin-5 (Class I unconventional myosin MYO5) (Type I myosin MYO5)	146955
OG6_131160	C405110CA	A0A1D8PM95	Hap41p	40427
OG6_102212	C405130CA	A0A1D8PM94	methylmalonate-semialdehyde dehydrogenase (CoA acylating) (EC 1.2.1.27)	58307
OG6_103063	C405140CA	Q59MN2	Glycogen debranching enzyme (EC 2.4.1.25) (EC 3.2.1.33) (Glycogen debrancher)	173916
OG6_108710	C405150WA	Q59MN0	Vacuolar protein 8	63407
OG6_122791	C405160CA	A0A1D8PM89	Uncharacterized protein	59583
OG6r21_294841	C405170CA	Q59MP1	Cytosolic Fe-S cluster assembly factor NBP35 (Nucleotide-binding protein 35)	35381
OG6_101756	C405180CA	A0A1D8PM92	Nucleocytoplasmic transporter	156356
OG6_106564	C405190CA	A0A1D8PM93	Enhancer of mRNA-decapping protein 3	57073
OG6r21_115549	C405200CA	A0A1D8PMA7	Uncharacterized protein	16062
OG6_102569	C405210WA	Q59RA2	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	26212
OG6_104954	C405220CA	A0A1D8PM98	Anaphase-promoting complex subunit 5	92533
OG6_499990	C405230CA	Q59RA0	Pre-rRNA-processing protein RIX1	87628
OG6_100301	C405240CA	Q59R99	V-type proton ATPase subunit a	93332
OG6_103776	C405250WA	Q59R98	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	27020
OG6_102646	C405260WA	A0A1D8PMB2	Elongator subunit	38006
OG6_500099	C405270CA	A0A1D8PM97	DNA repair and recombination protein RAD52	24972
OG6_103848	C405280WA	A0A1D8PMA2	Uso1p	246114
OG6_106370	C405290WA	A0A1D8PMB0	aminodeoxychorismate synthase (EC 2.6.1.85) (Para-aminobenzoate synthase) (p-aminobenzoic acid synthase)	94376
OG6_104017	C405300WA	A0A1D8PMB3	Xylulose kinase (EC 2.7.1.17)	68897
OG6r21_106216	C405310WA	A0A1D8PMA4	MI domain-containing protein	56602
OG6_111236	C405320WA	P43065	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	42394
OG6_103104	C405330CA	A0A1D8PMA9	Protein MAK11	54765
OG6_102501	C405340WA	A0A1D8PMB5	Anaphase promoting complex subunit	89050
OG6_102082	C405350WA	Q59P11	SVP1-like protein 2	64279
OG6r21_140071	C405360CA	A0A1D8PMB4	Uncharacterized protein	41339
OG6_100436	C405370WA	A0A1D8PMA5	mRNA-binding protein	102195
OG6_103297	C405380CA	A0A1D8PMC2	Signal peptidase complex subunit	9503
OG6_143663	C405390WA	Q59P08	Glyoxylate reductase	40678
OG6_106486	C405400CA	A0A1D8PMC3	SIS domain-containing protein	43359
OG6_104155	C405420CA	A0A1D8PMB6	Tsc2p	170318
OG6_103579	C405430CA	A0A1D8PMB1	Amino-acid permease GAP5	68203
OG6_107691	C405440CA	A0A1D8PMC1	Vacuolar protein sorting-associated protein 62	50555
OG6_100179	C405450CA	Q59P03	NADH-cytochrome b5 reductase 1 (EC 1.6.2.2) (Microsomal cytochrome b reductase)	32472
OG6_104447	C405460CA	A0A1D8PMB7	Oxidative DNA demethylase	70867
OG6r21_100621	C405530WA	A0A1D8PMC4	Fgr6-10p	56767
OG6_100697	C405540WA	A0A1D8PMB8	Aspartokinase (EC 2.7.2.4)	59589
OG6_112318	C405550CA	Q5A473	Gvp36p	36167
OG6_500208	C405560CA	A0A1D8PMC5	Aromatic-amino-acid:2-oxoglutarate transaminase	58816
OG6_101897	C405570CA	A0A1D8PMD4	Tubulin gamma chain	56195
OG6r21_100711	C405580CA	Q5A470	Opaque-phase-specific protein OP4	34935
OG6_115052	C405590WA	A0A1D8PMC0	Fmp27p	314607
OG6_101065	C405600WA	A0A1D8PMC9	Oxidant-induced cell-cycle arrest protein 5	108199
OG6r21_102271	C405610CA	A0A1D8PMD5	Eisosome protein SEG1	113981
OG6_143805	C405620CA	A0A1D8PMD7	Uncharacterized protein	17490
